,xAcc,yAcc,zAcc
625,0.029,0.0077,-9.1226
626,0.0953,0.0336,-9.134
627,0.0175,0.0055,-9.1583
628,-0.0044,-0.0177,-9.1659
629,0.0852,0.0099,-9.1737
630,0.0516,0.0064,-9.1845
631,0.0154,0.0011,-9.1927
632,0.0668,0.0285,-9.1831
633,0.017,0.0249,-9.1745
634,-0.0071,-0.0237,-9.1757
635,0.0638,-0.0019,-9.1566
636,0.0218,0.0337,-9.1676
637,-0.022,-0.0002,-9.1655
638,0.0523,0.0148,-9.1427
639,0.0297,0.038,-9.1777
640,-0.0295,0.0129,-9.177
641,0.0434,0.006,-9.1455
642,0.0583,0.0086,-9.1593
643,-0.0061,-0.0076,-9.175
644,0.0499,0.0013,-9.1734
645,0.0751,0.0005,-9.1939
646,-0.0016,-0.0352,-9.1966
647,0.0281,-0.0137,-9.1766
648,0.067,0.024,-9.1785
649,0.0036,0.0111,-9.1523
650,0.0341,0.0086,-9.1438
651,0.0827,0.0187,-9.1557
652,0.0052,-0.0114,-9.144
653,0.0281,-0.0264,-9.1465
654,0.075,-0.0069,-9.1568
655,0.0071,0.0014,-9.1564
656,0.0255,0.0115,-9.1708
657,0.0801,0.0232,-9.1885
658,0.0171,-0.0025,-9.1855
659,0.0116,-0.0206,-9.1973
660,0.0747,0.0191,-9.1909
661,0.03,0.0273,-9.1815
662,0.005,0.0067,-9.1723
663,0.0681,0.0117,-9.1493
664,0.0373,-0.0051,-9.1463
665,-0.0118,-0.0198,-9.1605
666,0.0487,0.0035,-9.1629
667,0.0244,-0.0022,-9.1434
668,-0.0312,-0.0242,-9.1516
669,0.0489,-0.0157,-9.1805
670,0.0553,-0.017,-9.1762
671,-0.0062,-0.0344,-9.1573
672,0.046,-0.0077,-9.1599
673,0.0525,0.0088,-9.152
674,-0.0057,-0.0131,-9.1356
675,0.0484,0.0153,-9.1445
676,0.0582,0.0257,-9.1558
677,0.0013,-0.0027,-9.1557
678,0.0577,0.0059,-9.1654
679,0.0761,0.0197,-9.1761
680,0.0066,0.0034,-9.1801
681,0.0374,-0.0034,-9.1867
682,0.0688,-0.004,-9.1874
683,0.0098,-0.0284,-9.1755
684,0.0339,-0.0297,-9.172
685,0.0876,-0.0014,-9.1669
686,0.0277,-0.0102,-9.139
687,0.0401,-0.0097,-9.1195
688,0.0986,0.0264,-9.1238
689,0.0225,0.0064,-9.131
690,0.0056,-0.0121,-9.1447
691,0.0793,0.0102,-9.1446
692,0.0334,0.0034,-9.1632
693,0.008,-0.0061,-9.1914
694,0.0741,0.0301,-9.1692
695,0.0197,0.0234,-9.1448
696,-0.0225,-0.0039,-9.146
697,0.0544,0.0236,-9.1606
698,0.0254,0.0124,-9.1681
699,-0.0174,-0.0172,-9.1718
700,0.0513,0.0066,-9.1913
701,0.0283,0.0095,-9.1925
702,-0.0108,-0.0231,-9.1601
703,0.0739,-0.0118,-9.1746
704,0.0717,0.006,-9.1872
705,0.0149,-0.0029,-9.1541
706,0.079,0.0104,-9.1461
707,0.0756,0.0251,-9.1372
708,0.0079,0.0062,-9.1311
709,0.0517,0.0118,-9.1603
710,0.0649,0.0333,-9.1958
711,0.0089,-0.0011,-9.1876
712,0.05,-0.0069,-9.1553
713,0.0886,0.0344,-9.1617
714,0.0193,0.0247,-9.1732
715,0.045,0.0107,-9.17
716,0.0989,0.033,-9.1673
717,0.0043,0.0252,-9.1444
718,0.0094,0.0082,-9.1333
719,0.0682,0.02,-9.1605
720,-0.0085,0.0048,-9.1685
721,0.0012,0.008,-9.1519
722,0.081,0.0339,-9.157
723,0.0345,0.0184,-9.1496
724,0.0129,0.0171,-9.1402
725,0.0762,0.0543,-9.119
726,0.0075,0.495,-9.1217
727,-0.3665,1.5978,-9.1397
728,-0.5257,1.7939,-9.1159
729,-0.2306,0.8524,-9.1083
730,-0.001,0.2066,-9.1324
731,0.1952,-0.1435,-9.1476
732,0.4624,-0.56,-9.162
733,0.5452,-0.8632,-9.1766
734,0.3475,-0.8089,-9.1738
735,0.1074,-0.6255,-9.1657
736,0.0241,-0.4024,-9.1723
737,0.0663,-0.1633,-9.187
738,0.0634,-0.0317,-9.1623
739,-0.0048,-0.0815,-9.1257
740,0.061,-0.1561,-9.1368
741,0.1076,-0.1403,-9.1699
742,0.0236,-0.1002,-9.1577
743,0.0506,-0.0197,-9.1468
744,0.0869,0.0716,-9.1955
745,0.0268,0.1375,-9.1985
746,0.0649,0.2202,-9.1791
747,0.1223,0.2627,-9.2058
748,0.0468,0.1806,-9.19
749,0.049,0.0768,-9.1703
750,0.1418,0.0301,-9.1759
751,0.0434,-0.0467,-9.176
752,-0.0226,-0.1185,-9.1794
753,0.0389,-0.0849,-9.1815
754,-0.0106,-0.0951,-9.1769
755,-0.0213,-0.086,-9.162
756,0.0387,-0.0075,-9.1617
757,-0.0156,0.0119,-9.1743
